Iteration,Network,Signal,MAC Address
7,"['SDP_AT', '-35', '38:90:A5:0D:33:32']"
7,"['SDProbots', '-82', '00:0D:9D:F6:12:77']"
7,"['eduroam', '-84', '38:90:A5:20:20:41']"
7,"['Visit-Ed', '-90', '38:90:A5:4D:6A:1C']"
7,"['central', '-79', '38:90:A5:5A:11:10']"
7,"['SDP_AT', '-80', '38:90:A5:5A:11:12']"
7,"['eduroam', '-81', '38:90:A5:5A:11:11']"
7,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
7,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
7,"['central', '-84', '38:90:A5:20:31:B0']"
7,"['Visit-Ed', '-85', '20:3A:07:85:59:52']"
7,"['eduroam', '-85', '20:3A:07:85:59:51']"
7,"['central', '-83', '38:90:A5:20:20:40']"
7,"['central', '-83', '38:90:A5:5A:11:1F']"
7,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
7,"['central', '-84', '20:3A:07:85:59:50']"
7,"['eduroam', '-84', '38:90:A5:20:31:B1']"
7,"['Visit-Ed', '-83', '38:90:A5:20:20:42']"
7,"['Visit-Ed', '-87', '38:90:A5:20:31:B2']"
7,"['Visit-Ed', '-92', '38:90:A5:20:20:4D']"
8,"['eduroam', '-67', '38:90:A5:19:EB:F1']"
8,"['SDProbots', '-55', '00:13:21:57:B4:67']"
8,"['central', '-67', '38:90:A5:19:EB:F0']"
8,"['Visit-Ed', '-67', '38:90:A5:19:EB:F3']"
8,"['eduroam', '-35', '38:90:A5:0D:33:31']"
8,"['SDProbots', '-75', '00:16:35:9D:2B:09']"
8,"['eduroam', '-70', '38:90:A5:19:EB:FE']"
8,"['central', '-70', '38:90:A5:19:EB:FF']"
8,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
8,"['eduroam', '-43', '38:90:A5:0D:33:3E']"
8,"['central', '-42', '38:90:A5:0D:33:3F']"
8,"['SDP_AT', '-42', '38:90:A5:0D:33:3D']"
8,"['SDProbots', '-81', '00:13:21:57:E4:EB']"
8,"['central', '-35', '38:90:A5:0D:33:30']"
8,"['SDP_AT', '-36', '38:90:A5:0D:33:32']"
8,"['SDProbots', '-83', '00:0D:9D:F6:12:77']"
8,"['eduroam', '-83', '38:90:A5:20:20:41']"
8,"['Visit-Ed', '-87', '38:90:A5:4D:6A:1C']"
8,"['central', '-79', '38:90:A5:5A:11:10']"
8,"['SDP_AT', '-80', '38:90:A5:5A:11:12']"
8,"['eduroam', '-81', '38:90:A5:5A:11:11']"
8,"['eduroam', '-82', '38:90:A5:5A:11:1E']"
8,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
8,"['central', '-84', '38:90:A5:20:31:B0']"
8,"['Visit-Ed', '-85', '20:3A:07:85:59:52']"
8,"['eduroam', '-85', '20:3A:07:85:59:51']"
8,"['central', '-83', '38:90:A5:20:20:40']"
8,"['central', '-83', '38:90:A5:5A:11:1F']"
8,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
8,"['central', '-85', '20:3A:07:85:59:50']"
8,"['eduroam', '-84', '38:90:A5:20:31:B1']"
8,"['Visit-Ed', '-83', '38:90:A5:20:20:42']"
8,"['Visit-Ed', '-87', '38:90:A5:20:31:B2']"
8,"['Visit-Ed', '-92', '38:90:A5:20:20:4D']"
8,"['central', '-87', '38:90:A5:4D:6A:1F']"
9,"['eduroam', '-67', '38:90:A5:19:EB:F1']"
9,"['SDProbots', '-42', '00:13:21:57:B4:67']"
9,"['central', '-67', '38:90:A5:19:EB:F0']"
9,"['Visit-Ed', '-67', '38:90:A5:19:EB:F3']"
9,"['eduroam', '-35', '38:90:A5:0D:33:31']"
9,"['SDProbots', '-75', '00:16:35:9D:2B:09']"
9,"['eduroam', '-70', '38:90:A5:19:EB:FE']"
9,"['central', '-70', '38:90:A5:19:EB:FF']"
9,"['Visit-Ed', '-70', '38:90:A5:19:EB:FC']"
9,"['eduroam', '-43', '38:90:A5:0D:33:3E']"
9,"['central', '-43', '38:90:A5:0D:33:3F']"
9,"['SDP_AT', '-43', '38:90:A5:0D:33:3D']"
9,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
9,"['central', '-37', '38:90:A5:0D:33:30']"
9,"['SDP_AT', '-36', '38:90:A5:0D:33:32']"
9,"['SDProbots', '-85', '00:0D:9D:F6:12:77']"
9,"['eduroam', '-83', '38:90:A5:20:20:41']"
9,"['Visit-Ed', '-87', '38:90:A5:4D:6A:1C']"
9,"['central', '-79', '38:90:A5:5A:11:10']"
9,"['SDP_AT', '-81', '38:90:A5:5A:11:12']"
9,"['eduroam', '-81', '38:90:A5:5A:11:11']"
9,"['eduroam', '-82', '38:90:A5:5A:11:1E']"
9,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
9,"['central', '-84', '38:90:A5:20:31:B0']"
9,"['Visit-Ed', '-85', '20:3A:07:85:59:52']"
9,"['eduroam', '-83', '20:3A:07:85:59:51']"
9,"['central', '-83', '38:90:A5:20:20:40']"
9,"['central', '-83', '38:90:A5:5A:11:1F']"
9,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
9,"['central', '-85', '20:3A:07:85:59:50']"
9,"['eduroam', '-86', '38:90:A5:20:31:B1']"
9,"['Visit-Ed', '-83', '38:90:A5:20:20:42']"
9,"['Visit-Ed', '-87', '38:90:A5:20:31:B2']"
9,"['Visit-Ed', '-92', '38:90:A5:20:20:4D']"
9,"['central', '-88', '38:90:A5:4D:6A:1F']"
10,"['eduroam', '-67', '38:90:A5:19:EB:F1']"
10,"['SDProbots', '-45', '00:13:21:57:B4:67']"
10,"['central', '-67', '38:90:A5:19:EB:F0']"
10,"['Visit-Ed', '-67', '38:90:A5:19:EB:F3']"
10,"['eduroam', '-35', '38:90:A5:0D:33:31']"
10,"['SDProbots', '-75', '00:16:35:9D:2B:09']"
10,"['eduroam', '-71', '38:90:A5:19:EB:FE']"
10,"['central', '-71', '38:90:A5:19:EB:FF']"
10,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
10,"['eduroam', '-43', '38:90:A5:0D:33:3E']"
10,"['central', '-43', '38:90:A5:0D:33:3F']"
10,"['SDP_AT', '-43', '38:90:A5:0D:33:3D']"
10,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
10,"['central', '-38', '38:90:A5:0D:33:30']"
10,"['SDP_AT', '-35', '38:90:A5:0D:33:32']"
10,"['SDProbots', '-85', '00:0D:9D:F6:12:77']"
10,"['eduroam', '-83', '38:90:A5:20:20:41']"
10,"['Visit-Ed', '-87', '38:90:A5:4D:6A:1C']"
10,"['SDP_AT', '-81', '38:90:A5:5A:11:12']"
10,"['eduroam', '-81', '38:90:A5:5A:11:11']"
10,"['eduroam', '-82', '38:90:A5:5A:11:1E']"
10,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
10,"['Visit-Ed', '-85', '20:3A:07:85:59:52']"
10,"['eduroam', '-83', '20:3A:07:85:59:51']"
10,"['central', '-83', '38:90:A5:20:20:40']"
10,"['central', '-83', '38:90:A5:5A:11:1F']"
10,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
10,"['central', '-85', '20:3A:07:85:59:50']"
10,"['eduroam', '-86', '38:90:A5:20:31:B1']"
10,"['Visit-Ed', '-83', '38:90:A5:20:20:42']"
10,"['Visit-Ed', '-86', '38:90:A5:20:31:B2']"
10,"['Visit-Ed', '-92', '38:90:A5:20:20:4D']"
10,"['central', '-88', '38:90:A5:4D:6A:1F']"
10,"['SDProbots', '-85', '00:16:35:9D:4B:F3']"
11,"['eduroam', '-66', '38:90:A5:19:EB:F1']"
11,"['SDProbots', '-42', '00:13:21:57:B4:67']"
11,"['central', '-66', '38:90:A5:19:EB:F0']"
11,"['Visit-Ed', '-66', '38:90:A5:19:EB:F3']"
11,"['eduroam', '-35', '38:90:A5:0D:33:31']"
11,"['SDProbots', '-76', '00:16:35:9D:2B:09']"
11,"['eduroam', '-71', '38:90:A5:19:EB:FE']"
11,"['central', '-70', '38:90:A5:19:EB:FF']"
11,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
11,"['eduroam', '-43', '38:90:A5:0D:33:3E']"
11,"['central', '-43', '38:90:A5:0D:33:3F']"
11,"['SDP_AT', '-43', '38:90:A5:0D:33:3D']"
11,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
11,"['central', '-35', '38:90:A5:0D:33:30']"
11,"['SDP_AT', '-35', '38:90:A5:0D:33:32']"
11,"['SDProbots', '-84', '00:0D:9D:F6:12:77']"
11,"['eduroam', '-83', '38:90:A5:20:20:41']"
11,"['Visit-Ed', '-89', '38:90:A5:4D:6A:1C']"
11,"['SDP_AT', '-79', '38:90:A5:5A:11:12']"
11,"['eduroam', '-81', '38:90:A5:5A:11:11']"
11,"['eduroam', '-82', '38:90:A5:5A:11:1E']"
11,"['eduroam', '-87', '38:90:A5:4D:6A:1E']"
11,"['Visit-Ed', '-85', '20:3A:07:85:59:52']"
11,"['eduroam', '-83', '20:3A:07:85:59:51']"
11,"['central', '-83', '38:90:A5:20:20:40']"
11,"['central', '-83', '38:90:A5:5A:11:1F']"
11,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
11,"['central', '-85', '20:3A:07:85:59:50']"
11,"['eduroam', '-86', '38:90:A5:20:31:B1']"
11,"['Visit-Ed', '-84', '38:90:A5:20:20:42']"
11,"['Visit-Ed', '-86', '38:90:A5:20:31:B2']"
11,"['Visit-Ed', '-92', '38:90:A5:20:20:4D']"
11,"['central', '-88', '38:90:A5:4D:6A:1F']"
11,"['SDProbots', '-85', '00:16:35:9D:4B:F3']"
12,"['eduroam', '-66', '38:90:A5:19:EB:F1']"
12,"['SDProbots', '-42', '00:13:21:57:B4:67']"
12,"['central', '-66', '38:90:A5:19:EB:F0']"
12,"['Visit-Ed', '-67', '38:90:A5:19:EB:F3']"
12,"['eduroam', '-35', '38:90:A5:0D:33:31']"
12,"['SDProbots', '-76', '00:16:35:9D:2B:09']"
12,"['eduroam', '-71', '38:90:A5:19:EB:FE']"
12,"['central', '-70', '38:90:A5:19:EB:FF']"
12,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
12,"['eduroam', '-43', '38:90:A5:0D:33:3E']"
12,"['central', '-43', '38:90:A5:0D:33:3F']"
12,"['SDP_AT', '-43', '38:90:A5:0D:33:3D']"
12,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
12,"['central', '-37', '38:90:A5:0D:33:30']"
12,"['SDP_AT', '-38', '38:90:A5:0D:33:32']"
12,"['SDProbots', '-86', '00:0D:9D:F6:12:77']"
12,"['eduroam', '-86', '38:90:A5:20:20:41']"
12,"['Visit-Ed', '-88', '38:90:A5:4D:6A:1C']"
12,"['SDP_AT', '-79', '38:90:A5:5A:11:12']"
12,"['eduroam', '-81', '38:90:A5:5A:11:11']"
12,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
12,"['eduroam', '-87', '38:90:A5:4D:6A:1E']"
12,"['Visit-Ed', '-85', '20:3A:07:85:59:52']"
12,"['eduroam', '-83', '20:3A:07:85:59:51']"
12,"['central', '-83', '38:90:A5:20:20:40']"
12,"['central', '-83', '38:90:A5:5A:11:1F']"
12,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
12,"['central', '-85', '20:3A:07:85:59:50']"
12,"['eduroam', '-86', '38:90:A5:20:31:B1']"
12,"['Visit-Ed', '-82', '38:90:A5:20:20:42']"
12,"['Visit-Ed', '-86', '38:90:A5:20:31:B2']"
12,"['Visit-Ed', '-92', '38:90:A5:20:20:4D']"
12,"['central', '-87', '38:90:A5:4D:6A:1F']"
12,"['SDProbots', '-85', '00:16:35:9D:4B:F3']"
12,"['central', '-82', '38:90:A5:5A:11:10']"
13,"['eduroam', '-67', '38:90:A5:19:EB:F1']"
13,"['SDProbots', '-42', '00:13:21:57:B4:67']"
13,"['central', '-67', '38:90:A5:19:EB:F0']"
13,"['Visit-Ed', '-67', '38:90:A5:19:EB:F3']"
13,"['eduroam', '-35', '38:90:A5:0D:33:31']"
13,"['SDProbots', '-76', '00:16:35:9D:2B:09']"
13,"['eduroam', '-70', '38:90:A5:19:EB:FE']"
13,"['central', '-71', '38:90:A5:19:EB:FF']"
13,"['Visit-Ed', '-70', '38:90:A5:19:EB:FC']"
13,"['eduroam', '-43', '38:90:A5:0D:33:3E']"
13,"['central', '-42', '38:90:A5:0D:33:3F']"
13,"['SDP_AT', '-43', '38:90:A5:0D:33:3D']"
13,"['SDProbots', '-82', '00:13:21:57:E4:EB']"
13,"['central', '-35', '38:90:A5:0D:33:30']"
13,"['SDP_AT', '-35', '38:90:A5:0D:33:32']"
13,"['SDProbots', '-83', '00:0D:9D:F6:12:77']"
13,"['eduroam', '-83', '38:90:A5:20:20:41']"
13,"['Visit-Ed', '-88', '38:90:A5:4D:6A:1C']"
13,"['SDP_AT', '-79', '38:90:A5:5A:11:12']"
13,"['eduroam', '-81', '38:90:A5:5A:11:11']"
13,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
